indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	choix remaniés (manuellement à la mimine avant raccourcissement)	RAF
1	1	2	If you wish to investigate the hut,	Si vous souhaitez enquêter sur la cabane,	explorer la cabane	18	explorer la cabane	
2	1	2	If you wish to ignore the hut and continue on your ride along the Ruanon Pike,	Si vous souhaitez ignorer la cabane et continuez sur votre promenade le long de la Ruanon Pike,	l'ignorer et continuer la route	31	ignorer la cabane et continuer le long de la voie de Ruanon	
3	6	2	If you wish to investigate the wagon,	Si vous souhaitez enquêter sur le wagon,	examiner le chariot	19	examiner le chariot	
4	6	2	If you decide to ignore the wagon and ride south along the highway,	Si vous décidez d'ignorer le wagon et monter au sud le long de la route,	l'ignorer et poursuivre vers le sud	35	ignorer le chariot et poursuivre vers le sud par la route	
5	8	2	If you wish to enter the tunnel,	Si vous souhaitez entrer dans le tunnel,	entrer dans le tunnel	21	entrer dans le tunnel	
6	8	2	If you decide not to enter the tunnel, you can return to the rowing boat and continue along the underground river by	Si vous décidez de ne pas entrer dans le tunnel, vous pouvez retourner au bateau d'aviron et continuer le long de la rivière souterraine par	continuer sur la rivière	24	ne pas entrer dans le tunnel, retourner au bateau et continuer sur la rivière souterraine	
7	9	2	If you wish to tighten your grip and brace yourself for the shock of impact,	Si vous souhaitez serrer la poignée et accrochez-vous pour le choc de l'impact,	serrer la poignée (et les dents)	32	serrer la poignée et s'accrocher pour le choc de l'impact	
8	9	2	If you decide to leap clear of the swinging bridge into the unknown depth of the mine shaft,	Si vous décidez de sauter clair du pont oscillant dans la profondeur inconnue de l'arbre de la mine,	plonger dans les profondeurs de la mine	39	sauter du pont et plonger dans les profondeurs inconnues du puits de la mine	
9	14	2	If you wish to evade combat at any time, you can dive into the River Xane by	Si vous souhaitez combat evade à tout moment, vous pouvez plonger dans la rivière par Xane	(ATM) plonger dans la rivière	29	(à tout moment) fuir le combat en plongeant dans la rivière Xane	
13	16	2	If you wish to run straight into the forest,	Si vous souhaitez exécuter directement dans la forêt,	avancer tout droit dans la forêt	32	se précipiter dans la forêt	
14	16	2	If you wish to try to change direction as soon as the trees hide you from your pursuers,	Si vous souhaitez essayer de changer de direction dès que les arbres que vous cachez vos poursuivants,	changer de direction dans la forêt	34	essayer de changer de direction dès que les arbres nous cachent de nos poursuivants	
16	21	3	If you wish to follow it east,	Si vous souhaitez suivre l'est,	suivre le sentier vers l'est	28	suivre le sentier vers l'est	
17	21	3	If you wish to it west,	Si vous souhaitez l'ouest,	suivre le sentier vers l'ouest	30	suivre le sentier vers l'ouest	
18	24	3	If you have the Kai Discipline of Healing, you can help this wounded soldier by	Si vous avez le Kai Discipline de guérison, vous pouvez aider ce soldat blessé par	aider le soldat blessé (si Guérison)	36	aider le soldat blessé (discipline Kai de guérison)	oui
19	24	3	If you wish to continue up the stairs to the watchtower roof,	Si vous souhaitez continuer à monter les escaliers sur le toit de mirador,	continuer à monter vers le toit	31	continuer à monter les escaliers vers le toit de la tour de guet	oui
20	24	3	If you wish to pick up the wounded archer’s bow and man his position at the arrow slit,	Si vous souhaitez prendre l'arc de l'archer et l'homme blessé sa position à la fente de flèche,	se mettre à la meurtrière avec l'arc	36	prendre l'arc de l'archer blessé et prendre son poste à la meurtrière	oui
21	25	2	If you wish to set up camp for the night in the shelter of the ruins,	Si vous souhaitez mettre en place le camp pour la nuit à l'abri des ruines,	établir le camp	15	établir le camp pour la nuit à l'abri des ruines	
