indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	RAF	remarque
1	1	3	If you wish to stand and fight against these overwhelming odds	Si vous souhaitez lever et se battre contre ces énormes obstacles	affronter les hommes	20	k	
2	1	3	If you wish to surrender to Maouk and his warriors	Si vous souhaitez de se rendre à Maouk et ses guerriers	se rendre à Maouk et à ses guerriers	36	k	
3	1	3	If you wish to run back to the galley	Si vous souhaitez courir à la cuisine	fuir vers la galère	19	k	
4	104	3	If you wish to attack the horseman	Si vous souhaitez attaquer le cavalier	attaquer le cavalier	20	k	
5	104	3	If you wish to evade combat by diving into the sea	Si vous souhaitez evade combat en plongeant dans la mer	fuir en plongeant dans la mer	29	k	
6	104	3	If you decide to surrender	Si vous décidez de se rendre	se rendre	9	k	
7	105	2	If you wish to pull the lever	Si vous souhaitez tirer le levier	tirer le levier	15	k	
8	105	2	If you wish to close the head and continue along the corridor	Si vous souhaitez fermer la tête et continuer le long du corridor	remettre la tête et poursuivre	30	k	
9	107	2	If you wish to search the guards’ bodies	Si vous souhaitez rechercher les corps des gardes	fouiller le corp des gardes	27	k	
10	107	2	If you wish to ignore the bodies and escape along the corridor	Si vous souhaitez ignorer les corps et échapper le long du corridor	s'enfuir par le couloir	23	k	
11	109	3	If you wish to enter the hall	Si vous souhaitez entrer dans la salle	entrer dans le bâtiment	23	k	
12	109	3	If you wish to turn right and head for the archway	Si vous souhaitez tourner à droite et se diriger vers la voûte	tourner à droite vers le porche	31	k	
13	109	3	If you decide to double back to the harbour	Si vous décidez de le double du port	retourner au port	17	k	
15	111	3	If you wish to leave the forge room by the north door	Si vous souhaitez quitter la salle de forge par la porte du Nord	sortir par la porte nord	24	k	
16	111	3	If you wish to leave by the west door	Si vous souhaitez quitter par la porte ouest	sortir par la porte ouest	25	k	
18	112	3	If you wish to continue along the walkway	Si vous souhaitez continuer le long de la passerelle	continuer le long du trottoir	29	k	
19	112	3	If you wish to climb a narrow stair in the left wall	Si vous souhaitez monter un escalier étroit dans le mur gauche	monter l'escalier à gauche	26	k	
21	113	3	If you decide to enter the dwelling	Si vous décidez de pénétrer dans le logement	entrer dans la petite maison	28	k	
22	113	3	If you decide to enter the tavern	Si vous décidez d'entrer dans la taverne	entrer dans la taverne	22	k	
23	116	2	If you wish to search for a hidden exit	Si vous souhaitez rechercher une sortie cachée	chercher une sortie dérobée	27	k	
24	116	2	If you decide to turn around and go back to the walkway	Si vous décidez de faire demi-tour et revenir à la passerelle	retourner sur le trottoir	25	k	
25	121	2	If you wish to attack the warriors	Si vous souhaitez attaquer les guerriers	attaquer les guerriers	22	k	
26	121	2	If you wish to evade them, you must turn back and swim across the sewer vault	Si vous souhaitez les échapper, vous devez revenir en arrière et nager dans la voûte d'égout	fuir et traverser les égoûts à la nage	38	k	
29	123	2	You can evade the combat at any stage by escaping through the trapdoor	Vous pouvez échapper au combat à tout moment en s'échappant par la trappe	(ATM) s'échapper par la trappe	30	k	
32	126	3	If you decide to attempt to bribe the guards	Si vous décidez de tenter de corrompre les gardes	soudoyer les gardes	19	k	
33	126	3	If you decide to attack them	Si vous décidez de les attaquer	les attaquer	12	k	
34	128	3	If you have a Rope and decide to use it in the manner described above	Si vous avez une corde et décidez de l'utiliser de la manière décrite ci-dessus	utiliser notre corde	20	k	
35	128	3	If you decide to try to swim across the vault to the tunnel	Si vous décidez d'essayer de nager dans la voûte du tunnel	nager jusqu'au tunnel	21	k	
36	128	3	If you would rather turn around and make your way back to the junction	Si vous préférez faire demi-tour et votre dos de manière à la jonction	retourner au croisement	23	k	
37	129	2	If you wish to stand and fight	Si vous souhaitez tenir debout et combat	combattre	9	k	
38	129	2	If you wish to surrender	Si vous souhaitez de se rendre	se rendre	9	k	
43	132	2	If you wish to go west, towards the noise	Si vous souhaitez aller vers l'ouest, vers le bruit	approcher de la forge	21	k	
44	132	2	If you wish to keep moving north	Si vous souhaitez continuer à aller au nord	continuer vers le nord	22	k	
45	133	2	If you wish to search for a hidden exit	Si vous souhaitez rechercher une sortie cachée	chercher une issue cachée	25	k	
46	133	2	If you decide to turn around and return to the walkway	Si vous décidez de faire demi-tour et revenir à la passerelle	retourner vers le trottoir	26	k	
48	136	3	If you want to attack the guard	Si vous voulez attaquer la garde	attaquer le garde	17	k	
49	136	3	If you want to close the door and take the other passage	Si vous voulez fermer la porte et de prendre l'autre passage	fermer la porte et suivre le passage	36	k	
51	137	3	If you wish to enter the palace through the kitchens	Si vous souhaitez entrer dans le palais à travers les cuisines	entrer dans le palais par les cuisines	38	k	
52	137	3	If you wish to enter through the <i xml:lang="x-vassagonian">Vizu-diar</i>	Si vous souhaitez entrer dans <i xml: lang = "x-vassagonian"> Vizu-diar </ i>	entrer par le Vizu-Diar	23	k	
53	138	2	If you wish to pick up the sword	Si vous souhaitez prendre l'épée	ramasser l'épée	15	k	
54	138	2	If you wish to ignore the sword and attack the second guard with your bare hands	Si vous souhaitez ignorer l'épée et attaquer la deuxième garde à mains nues	se battre à mains nues	22	k	
55	14	2	If you wish to leave the chamber	Si vous souhaitez quitter la chambre	quitter l'endroit	17	k	
56	14	2	If you wish to search the chamber for useful items	Si vous souhaitez rechercher la chambre des articles utiles	fouiller la pièce	17	k	
57	140	2	If you wish to open the book	Si vous souhaitez ouvrir le livre	ouvrir le livre	15	k	
58	140	2	If you wish to ignore the book and search for your confiscated equipment	Si vous souhaitez ignorer le livre et la recherche de votre matériel confisqué	rechercher notre équipement	27	k	
59	141	2	If you wish to roll over to the trapdoor and escape	Si vous souhaitez rouler sur la trappe et d'évasion	s'enfuir par la trappe	22	k	
60	141	2	If you decide to surrender to Maouk and his warriors	Si vous décidez de se rendre à Maouk et ses guerriers	se rendre à Maouk et à ses guerriers	36	k	
62	142	3	If you wish to fight the creature	Si vous souhaitez combattre la créature	combattre la créature	21	k	
63	142	3	If you wish to evade the creature	Si vous souhaitez échapper à la créature	fuir -vite- la créature	23	k	
64	145	2	If you wish to enter the new tunnel	Si vous souhaitez entrer dans le nouveau tunnel	entrer dans le tunnel vers l'ouest	34	k	
65	145	2	If you wish to continue northwards	Si vous souhaitez continuer vers le nord	continuer vers le nord	22	k	
66	147	2	If you wish to stay in his house	Si vous souhaitez rester dans sa maison	rester dans sa maison	21	k	
67	147	2	If you wish to escape by the window	Si vous souhaitez échapper par la fenêtre	s'échapper par la fenêtre	25	k	
68	149	2	If you wish to investigate the east door	Si vous souhaitez enquêter sur la porte est	ouvrir la porte est (mortier)	29	k	
69	149	2	If you wish to investigate the west door	Si vous souhaitez enquêter sur la porte ouest	ouvrir la porte ouest (livre)	29	k	
70	150	2	If you wish to go east, towards the stairs	Si vous souhaitez aller vers l'est, vers l'escalier	aller vers l'est, vers l'escalier	33	k	
71	150	2	If you decide to go west, towards the door	Si vous décidez d'aller vers l'ouest, vers la porte	aller vers l'ouest, vers la porte	33	k	
73	153	4	If you wish to enter the gate	Si vous souhaitez entrer dans la porte	ouvrir la porte	15	k	
74	153	4	If you wish to enter the alley	Si vous souhaitez entrer dans l'allée	suivre l'allée	14	k	
75	153	4	If you decide to take the straight pathway through the arch	Si vous décidez de prendre la voie droite à travers l'arc	prendre la ruelle vers le porche	32	k	
78	157	2	If you wish to hide in the cellar	Si vous souhaitez cacher dans la cave	se cacher dans la cave	22	k	
